,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
94,7.0,0.0,1.0,0.0
95,6.0,0.0,2.0,0.0
96,105.0,139.0,7.0,7.0
97,93.0,133.0,6.0,7.0
98,67.0,99.0,7.0,7.0
99,71.0,109.0,7.0,7.0
100,83.0,135.0,6.0,7.0
101,106.0,130.0,6.0,7.0
102,113.0,117.0,7.0,7.0
103,95.0,102.0,6.0,7.0
104,67.0,116.0,7.0,7.0
105,88.0,107.0,7.0,7.0
106,114.0,118.0,7.0,7.0
107,84.0,135.0,6.0,7.0
108,27.0,69.0,4.0,7.0
109,103.0,100.0,7.0,7.0
110,60.0,104.0,7.0,7.0
111,51.0,70.0,6.0,7.0
112,42.0,97.0,7.0,7.0
113,70.0,81.0,7.0,7.0
114,77.0,70.0,7.0,7.0
115,68.0,90.0,7.0,7.0
116,78.0,84.0,7.0,7.0
117,43.0,88.0,5.0,7.0
118,70.0,83.0,7.0,7.0
119,70.0,103.0,6.0,7.0
0,64.0,22.0,7.0,3.0
1,40.0,11.0,5.0,3.0
2,17.0,15.0,4.0,3.0
3,21.0,42.0,3.0,7.0
4,22.0,37.0,2.0,7.0
5,10.0,52.0,3.0,6.0
6,21.0,44.0,2.0,6.0
7,29.0,49.0,4.0,7.0
8,27.0,48.0,3.0,7.0
9,52.0,5.0,7.0,1.0
10,39.0,16.0,4.0,3.0
11,18.0,36.0,3.0,6.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,6.0,0.0,1.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,1.0,0.0,1.0,0.0
24,172.0,117.0,7.0,7.0
25,152.0,121.0,7.0,7.0
26,125.0,120.0,7.0,7.0
27,147.0,95.0,7.0,6.0
28,145.0,142.0,7.0,7.0
29,157.0,132.0,7.0,7.0
30,157.0,124.0,7.0,7.0
31,168.0,105.0,7.0,7.0
32,137.0,111.0,7.0,7.0
33,166.0,162.0,7.0,7.0
34,129.0,146.0,6.0,7.0
35,154.0,114.0,7.0,7.0
36,119.0,103.0,7.0,7.0
37,162.0,130.0,7.0,7.0
38,139.0,133.0,7.0,7.0
39,127.0,108.0,7.0,7.0
40,123.0,107.0,7.0,7.0
41,143.0,128.0,7.0,7.0
42,111.0,113.0,7.0,7.0
43,127.0,106.0,7.0,7.0
44,136.0,109.0,7.0,7.0
