"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/23/2021 22:58:44:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"212","30","0.45","0.02","50","100","5","1","2.5","buffers","0.18","100","13","2","4","0","0","0","0","0","9"
"215","30","0.45","0.02","50","100","5","1","2.5","buffers","0.18","100","24","4","0","0","0","2","6","1","15"
"214","30","0.45","0.02","50","100","5","1","2.5","buffers","0.18","100","17","3","11","4","2","0","0","0","0"
"225","30","0.45","0.02","50","150","5","1","2.5","buffers","0.18","100","11","1","0","0","0","0","0","11","0"
"222","30","0.45","0.02","50","150","5","1","2.5","buffers","0.18","100","13","1","0","0","0","0","13","0","0"
"223","30","0.45","0.02","50","150","5","1","2.5","buffers","0.18","100","18","2","0","0","11","0","0","0","7"
"224","30","0.45","0.02","50","150","5","1","2.5","buffers","0.18","100","21","4","11","0","0","1","0","7","2"
"221","30","0.45","0.02","50","150","5","1","2.5","buffers","0.18","100","7","2","0","0","0","2","5","0","0"
"227","30","0.45","0.02","50","150","5","1","2.5","corridors","0.18","100","34","4","3","11","6","14","0","0","0"
"228","30","0.45","0.02","50","150","5","1","2.5","corridors","0.18","100","17","3","0","8","6","0","0","0","3"
"226","30","0.45","0.02","50","150","5","1","2.5","corridors","0.18","100","36","5","7","11","10","0","1","7","0"
"231","30","0.45","0.02","50","200","5","1","2.5","buffers","0.18","100","18","3","0","6","0","0","7","5","0"
"232","30","0.45","0.02","50","200","5","1","2.5","buffers","0.18","100","2","1","0","0","0","0","0","0","2"
"230","30","0.45","0.02","50","150","5","1","2.5","corridors","0.18","100","21","3","0","3","9","9","0","0","0"
"229","30","0.45","0.02","50","150","5","1","2.5","corridors","0.18","100","19","3","0","0","0","8","0","4","7"
"236","30","0.45","0.02","50","200","5","1","2.5","corridors","0.18","100","29","3","0","14","11","0","0","0","4"
